idx,coherence,total_cost,global_cover12,base_q
75,0.43904645090399264,29,307,16
93,0.43904645090399264,29,307,12
6,0.42015689689326013,31,307,1
15,0.42015689689326013,31,307,20
17,0.42015689689326013,31,307,42
30,0.42015689689326013,31,307,13
31,0.42015689689326013,31,307,21
33,0.42015689689326013,31,307,17
41,0.42015689689326013,31,307,8
52,0.42015689689326013,31,307,35
53,0.42015689689326013,31,307,2
56,0.42015689689326013,31,307,13
62,0.42015689689326013,31,307,43
69,0.42015689689326013,31,307,44
71,0.42015689689326013,31,307,23
72,0.42015689689326013,31,307,25
80,0.42015689689326013,31,307,8
91,0.42015689689326013,31,307,11
94,0.42015689689326013,31,307,0
101,0.42015689689326013,31,307,14
103,0.42015689689326013,31,307,19
111,0.42015689689326013,31,307,0
115,0.42015689689326013,31,307,19
12,0.4181159973088244,33,307,16
105,0.4181159973088244,33,307,9
20,0.417653360287339,34,307,43
23,0.417653360287339,34,307,44
85,0.417653360287339,34,307,12
7,0.41737361729526745,35,307,20
13,0.41737361729526745,35,307,9
