n12_point,w33_point
C00,8
C01,4
C02,2
C03,12
C04,6
C05,38
C06,19
C07,30
C08,11
C09,39
C10,16
C11,23
C12,25
C13,1
C14,22
C15,28
C16,21
C17,24
C18,36
C19,7
C20,34
C21,27
C22,3
C23,20
C24,18
C25,13
C26,32
C27,33
C28,0
C29,15
C30,29
C31,35
C32,10
C33,14
C34,5
C37,17
F35,26
X35,9
F36,31
X36,37
