u,v,sign_z2
10,35,1
10,39,1
10,40,1
10,41,1
10,42,0
10,43,0
10,44,0
11,12,0
11,13,0
11,14,0
11,15,0
11,16,0
11,17,1
11,19,0
11,20,0
11,21,1
11,24,1
11,26,1
11,27,0
11,28,0
11,30,1
11,31,1
11,34,0
11,35,1
11,36,0
11,37,0
11,38,0
11,39,0
11,40,1
11,42,0
11,44,1
12,13,0
12,14,0
12,15,0
12,16,0
12,18,1
12,19,0
12,20,0
12,22,1
12,23,1
12,25,1
12,27,0
12,28,0
12,29,1
12,32,1
12,34,1
12,35,0
12,36,1
12,37,1
12,38,1
12,39,1
12,40,0
12,42,1
12,44,0
13,14,0
13,15,0
13,16,0
13,17,1
13,20,1
13,21,0
13,22,0
13,23,1
13,26,1
13,27,1
13,29,0
13,30,0
13,32,1
13,33,0
13,34,1
13,36,0
13,37,0
13,38,0
13,39,1
13,41,0
13,43,1
13,44,0
14,15,0
14,16,0
14,18,1
14,19,1
14,21,0
14,22,0
14,24,1
14,25,1
14,28,1
14,29,0
14,30,0
14,31,1
14,33,1
14,34,0
14,36,1
14,37,1
14,38,1
14,39,0
14,41,1
14,43,0
14,44,1
15,16,0
15,17,1
15,19,1
15,22,1
15,23,0
15,24,0
15,26,1
15,28,1
15,29,1
15,31,0
15,32,0
15,33,1
15,35,0
15,36,0
15,37,0
15,38,0
15,40,0
15,41,1
15,42,1
15,43,0
16,18,1
16,20,1
16,21,1
16,23,0
16,24,0
16,25,1
16,27,1
16,30,1
16,31,0
16,32,0
16,33,0
16,35,1
16,36,1
16,37,1
16,38,1
16,40,1
16,41,0
16,42,0
16,43,1
17,18,0
17,19,0
17,20,0
17,21,0
17,22,0
17,23,0
17,24,0
17,25,0
17,26,0
17,28,1
17,30,1
17,32,1
17,33,0
17,34,0
17,35,0
17,36,1
17,37,1
17,38,1
17,42,0
17,43,0
17,44,0
18,19,0
18,20,0
18,21,0
18,22,0
18,23,0
18,24,0
18,25,0
18,26,0
18,27,1
18,29,1
18,31,1
18,33,1
18,34,1
18,35,1
18,36,0
18,37,0
18,38,0
18,42,1
18,43,1
18,44,1
19,20,0
19,21,0
19,22,0
19,23,0
19,24,0
19,25,1
19,27,0
19,28,0
19,29,1
19,32,1
19,33,0
19,34,1
19,36,0
19,38,1
19,39,0
19,40,0
19,41,0
19,42,0
19,43,1
20,21,0
20,22,0
20,23,0
20,24,0
20,26,1
20,27,0
20,28,0
20,30,1
20,31,1
20,33,1
20,34,0
20,36,1
20,38,0
20,39,1
20,40,1
20,41,1
20,42,1
20,43,0
21,22,0
21,23,0
21,24,0
21,25,1
21,28,1
21,29,0
21,30,0
21,31,1
21,33,1
21,35,0
21,37,1
21,38,0
21,39,0
21,40,0
21,41,0
21,42,1
21,44,0
22,23,0
22,24,0
22,26,1
22,27,1
22,29,0
22,30,0
22,32,1
22,33,0
22,35,1
22,37,0
22,38,1
22,39,1
22,40,1
22,41,1
22,42,0
22,44,1
23,24,0
23,25,1
23,27,1
23,30,1
23,31,0
23,32,0
23,34,0
23,35,1
23,36,1
23,37,0
23,39,0
23,40,0
23,41,0
23,43,0
23,44,1
24,26,1
24,28,1
24,29,1
24,31,0
24,32,0
24,34,1
24,35,0
24,36,0
24,37,1
24,39,1
24,40,1
24,41,1
24,43,1
24,44,0
25,26,0
25,27,0
25,28,0
25,29,0
25,30,0
25,31,0
25,32,0
25,33,0
25,34,0
25,35,0
25,36,0
25,37,0
25,38,0
25,39,1
25,40,1
25,41,1
26,27,0
26,28,0
26,29,0
26,30,0
26,31,0
26,32,0
26,33,1
26,34,1
26,35,1
26,36,1
26,37,1
26,38,1
26,39,0
26,40,0
26,41,0
27,28,0
27,29,0
27,30,0
27,31,0
27,32,0
27,33,1
27,35,0
27,36,0
27,37,1
27,39,0
27,41,1
27,42,0
27,43,0
27,44,0
28,29,0
28,30,0
28,31,0
28,32,0
28,33,0
28,35,1
28,36,1
28,37,0
28,39,1
28,41,0
28,42,1
28,43,1
28,44,1
29,30,0
29,31,0
29,32,0
29,34,0
29,35,1
29,36,1
29,38,0
29,40,1
29,41,0
29,42,0
29,43,0
29,44,0
30,31,0
30,32,0
30,34,1
30,35,0
30,36,0
30,38,1
30,40,0
30,41,1
30,42,1
30,43,1
30,44,1
31,32,0
31,33,0
31,34,1
31,37,0
31,38,1
31,39,1
31,40,0
31,42,0
31,43,0
31,44,0
32,33,1
32,34,0
32,37,1
32,38,0
32,39,0
32,40,1
32,42,1
32,43,1
32,44,1
33,34,0
33,35,0
33,37,0
33,38,1
33,39,1
33,41,0
33,42,0
33,43,1
34,35,0
34,36,1
34,38,0
34,39,0
34,40,1
34,43,0
34,44,1
35,36,0
35,37,1
35,40,0
35,41,1
35,42,1
35,44,0
36,37,0
36,38,0
36,39,0
36,41,1
36,42,0
36,43,1
37,38,0
37,39,1
37,40,0
37,43,0
37,44,1
38,40,1
38,41,0
38,42,1
38,44,0
39,40,0
39,41,0
39,42,0
39,44,1
40,41,0
40,42,1
40,43,0
41,43,1
41,44,0
42,43,0
42,44,0
43,44,0
