triad_id,w33_points,centers,hol_mod12,hol_phase,n12_points,cover_mask,cover_size,cover12
86,3 16 21,11 13 29 36,3,i,C23 X36 C27,4095,12,1
87,3 17 19,9 13 27 38,9,-i,C23 C12 C28,4095,12,1
88,3 23 25,11 18 22 38,3,i,C23 C14 C37,4095,12,1
89,3 23 30,11 18 22 38,9,-i,C23 C14 C01,4095,12,1
90,3 24 26,9 20 22 36,9,-i,C23 C19 C07,4095,12,1
91,3 24 28,9 20 22 36,3,i,C23 C19 C10,4095,12,1
92,3 25 30,11 18 22 38,3,i,C23 C37 C01,4095,12,1
93,3 26 28,9 20 22 36,9,-i,C23 C07 C10,4095,12,1
94,3 32 34,11 20 27 31,3,i,C23 C25 C17,4095,12,1
95,3 32 39,11 20 27 31,9,-i,C23 C25 C15,4095,12,1
96,3 33 35,9 18 29 31,9,-i,C23 C32 C02,4095,12,1
97,3 33 37,9 18 29 31,3,i,C23 C32 C03,4095,12,1
98,3 34 39,11 20 27 31,3,i,C23 C17 C15,4095,12,1
99,3 35 37,9 18 29 31,9,-i,C23 C02 C03,4095,12,1
100,4 13 22,0 1 2 3,3,i,C08 C22 C30,63,6,0
101,4 13 31,0 1 2 3,9,-i,C08 C22 C04,3647,9,0
102,4 14 23,0 10 11 12,3,i,C08 C29 C14,4095,12,1
103,4 14 32,0 10 11 12,9,-i,C08 C29 C25,4095,12,1
104,4 15 24,0 7 8 9,3,i,C08 C18 C19,4095,12,1
105,4 15 33,0 7 8 9,9,-i,C08 C18 C32,4095,12,1
106,4 16 25,1 5 8 11,3,i,C08 X36 C37,4095,12,1
107,4 16 34,1 5 8 11,9,-i,C08 X36 C17,3647,9,0
108,4 17 26,2 5 9 10,3,i,C08 C12 C07,4095,12,1
109,4 17 35,2 5 9 10,9,-i,C08 C12 C02,4095,12,1
110,4 18 27,3 5 7 12,3,i,C08 C06 F36,3647,9,0
111,4 18 36,3 5 7 12,9,-i,C08 C06 C09,4095,12,1
112,4 19 28,1 6 9 12,3,i,C08 C28 C10,4095,12,1
113,4 19 37,1 6 9 12,9,-i,C08 C28 C03,4095,12,1
114,4 20 29,3 6 8 10,3,i,C08 C21 F35,4095,12,1
115,4 20 38,3 6 8 10,9,-i,C08 C21 C34,3647,9,0
116,4 21 30,2 6 7 11,3,i,C08 C27 C01,4095,12,1
117,4 21 39,2 6 7 11,9,-i,C08 C27 C15,511,9,0
118,4 22 31,0 1 2 3,3,i,C08 C30 C04,3647,9,0
119,4 23 32,0 10 11 12,3,i,C08 C14 C25,4095,12,1
120,4 24 33,0 7 8 9,3,i,C08 C19 C32,4095,12,1
121,4 25 34,1 5 8 11,3,i,C08 C37 C17,4095,12,1
122,4 26 35,2 5 9 10,3,i,C08 C07 C02,4095,12,1
123,4 27 36,3 5 7 12,3,i,C08 F36 C09,4095,12,1
124,4 28 37,1 6 9 12,3,i,C08 C10 C03,4095,12,1
125,4 29 38,3 6 8 10,3,i,C08 F35 C34,4095,12,1
126,4 30 39,2 6 7 11,3,i,C08 C01 C15,4095,12,1
127,5 7 12,4 18 27 36,9,-i,C13 C20 C26,4095,12,1
128,5 8 11,4 16 25 34,9,-i,C13 C31 C24,4095,12,1
129,5 9 10,4 17 26 35,9,-i,C13 C11 C16,4095,12,1
130,5 13 23,0 16 17 18,3,i,C13 C22 C14,4095,12,1
131,5 13 33,0 16 17 18,9,-i,C13 C22 C32,4095,12,1
132,5 14 24,0 34 35 36,3,i,C13 C29 C19,4095,12,1
133,5 14 31,0 34 35 36,9,-i,C13 C29 C04,4095,12,1
134,5 15 22,0 25 26 27,3,i,C13 C18 C30,4095,12,1
135,5 15 32,0 25 26 27,9,-i,C13 C18 C25,4095,12,1
136,5 19 29,6 16 27 35,9,-i,C13 C28 F35,4039,9,0
