line_id,line_points,intersection_size,intersection_points
4,0010 0101 0111,3,0010 0101 0111
10,0101 1010 1111,3,0101 1010 1111
13,0111 1001 1110,3,0111 1001 1110
14,0111 1011 1100,3,0111 1011 1100
2,0001 1010 1011,2,1010 1011
5,0011 1100 1111,2,1100 1111
6,0011 1101 1110,2,1101 1110
8,0100 1010 1110,2,1010 1110
9,0101 1000 1101,2,0101 1101
11,0110 1001 1111,2,1001 1111
12,0110 1011 1101,2,1011 1101
0,0001 0010 0011,1,0010
1,0001 1000 1001,1,1001
3,0010 0100 0110,1,0010
7,0100 1000 1100,1,1100
