w33_point,n12_point
0,F35
1,C27
2,C06
3,C08
4,C07
5,C14
6,C02
7,C24
8,C04
9,C20
10,C19
11,C33
12,C05
13,C10
14,C18
15,C34
16,C30
17,C13
18,C11
19,C00
20,C09
21,C25
22,C26
23,C32
24,C23
25,C28
26,C21
27,C12
28,F36
29,C16
30,C03
31,X35
32,C29
33,X36
34,C15
35,C17
36,C22
37,C37
38,C01
39,C31
