flip_class,delta,0.0,1.0,2.0
0->1,0,1,0,0
0->1,4,1,0,0
0->1,6,0,1,0
0->2,0,2,0,0
0->2,2,0,9,0
1->0,0,6,0,0
1->2,0,1,0,0
1->2,6,0,6,2
2->0,6,0,0,2
2->1,0,1,1,3
