w33_point,n12_point
0,C28
1,C13
2,C02
3,C22
4,C01
5,C34
6,C04
7,C19
8,C00
9,X35
10,C32
11,C08
12,C03
13,C25
14,C33
15,C29
16,C10
17,C37
18,C24
19,C06
20,C23
21,C16
22,C14
23,C11
24,C17
25,C12
26,F35
27,C21
28,C15
29,C30
30,C07
31,F36
32,C26
33,C27
34,C20
35,C31
36,C18
37,X36
38,C05
39,C09
