n12_point,w33_point
F35,0
C27,1
C06,2
C08,3
C07,4
C14,5
C02,6
C24,7
C04,8
C20,9
C19,10
C33,11
C05,12
C10,13
C18,14
C34,15
C30,16
C13,17
C11,18
C00,19
C09,20
C25,21
C26,22
C32,23
C23,24
C28,25
C21,26
C12,27
F36,28
C16,29
C03,30
X36,31
C29,32
X35,33
C15,34
C17,35
C22,36
C37,37
C01,38
C31,39
