cycle_index,cycle_length,step,support_mask_hex,support_bits,triad_id,w33_points,n12_points,cover_size,cover12
0,4,0,0xc88,3 7 10 11,0,0 1 2,F35 C27 C06,9,0
0,4,1,0x8e,1 2 3 7,1,0 1 3,F35 C27 C08,9,0
0,4,2,0xc0a,1 3 10 11,27,1 2 3,C27 C06 C08,12,1
0,4,3,0x486,1 2 7 10,2,0 2 3,F35 C06 C08,12,1
1,9,0,0x309,0 3 8 9,2,0 2 3,F35 C06 C08,12,1
1,9,1,0x588,3 7 8 10,0,0 1 2,F35 C27 C06,9,0
1,9,2,0xc48,3 6 10 11,2,0 2 3,F35 C06 C08,12,1
1,9,3,0x470,4 5 6 10,0,0 1 2,F35 C27 C06,9,0
1,9,4,0x1d0,4 6 7 8,1,0 1 3,F35 C27 C08,9,0
1,9,5,0x311,0 4 8 9,2,0 2 3,F35 C06 C08,12,1
1,9,6,0x8c8,3 6 7 11,0,0 1 2,F35 C27 C06,9,0
1,9,7,0x630,4 5 9 10,2,0 2 3,F35 C06 C08,12,1
1,9,8,0x688,3 7 9 10,0,0 1 2,F35 C27 C06,9,0
2,11,0,0x486,1 2 7 10,118,4 22 31,C07 C26 X36,9,0
2,11,1,0x309,0 3 8 9,279,13 22 31,C10 C26 X36,12,1
2,11,2,0x50a,1 3 8 10,100,4 13 22,C07 C10 C26,12,1
2,11,3,0x186,1 2 7 8,118,4 22 31,C07 C26 X36,9,0
2,11,4,0xc48,3 6 10 11,101,4 13 31,C07 C10 X36,9,0
2,11,5,0x470,4 5 6 10,100,4 13 22,C07 C10 C26,12,1
2,11,6,0x1d0,4 6 7 8,101,4 13 31,C07 C10 X36,9,0
2,11,7,0x311,0 4 8 9,100,4 13 22,C07 C10 C26,12,1
2,11,8,0x8c8,3 6 7 11,101,4 13 31,C07 C10 X36,9,0
2,11,9,0x630,4 5 9 10,100,4 13 22,C07 C10 C26,12,1
2,11,10,0x688,3 7 9 10,101,4 13 31,C07 C10 X36,9,0
3,17,0,0x6c0,6 7 9 10,2,0 2 3,F35 C06 C08,12,1
3,17,1,0x270,4 5 6 9,0,0 1 2,F35 C27 C06,9,0
3,17,2,0x486,1 2 7 10,27,1 2 3,C27 C06 C08,12,1
3,17,3,0x452,1 4 6 10,2,0 2 3,F35 C06 C08,12,1
3,17,4,0x113,0 1 4 8,1,0 1 3,F35 C27 C08,9,0
3,17,5,0xc48,3 6 10 11,2,0 2 3,F35 C06 C08,12,1
3,17,6,0x628,3 5 9 10,0,0 1 2,F35 C27 C06,9,0
3,17,7,0x113,0 1 4 8,1,0 1 3,F35 C27 C08,9,0
3,17,8,0x432,1 4 5 10,2,0 2 3,F35 C06 C08,12,1
3,17,9,0x309,0 3 8 9,27,1 2 3,C27 C06 C08,12,1
3,17,10,0x50a,1 3 8 10,2,0 2 3,F35 C06 C08,12,1
3,17,11,0x186,1 2 7 8,1,0 1 3,F35 C27 C08,9,0
3,17,12,0xc48,3 6 10 11,0,0 1 2,F35 C27 C06,9,0
3,17,13,0x470,4 5 6 10,2,0 2 3,F35 C06 C08,12,1
3,17,14,0x1d0,4 6 7 8,0,0 1 2,F35 C27 C06,9,0
3,17,15,0x311,0 4 8 9,2,0 2 3,F35 C06 C08,12,1
3,17,16,0x630,4 5 9 10,0,0 1 2,F35 C27 C06,9,0
4,19,0,0xc88,3 7 10 11,2,0 2 3,F35 C06 C08,12,1
4,19,1,0x270,4 5 6 9,0,0 1 2,F35 C27 C06,9,0
4,19,2,0x486,1 2 7 10,27,1 2 3,C27 C06 C08,12,1
4,19,3,0x452,1 4 6 10,2,0 2 3,F35 C06 C08,12,1
4,19,4,0x113,0 1 4 8,1,0 1 3,F35 C27 C08,9,0
4,19,5,0xc48,3 6 10 11,2,0 2 3,F35 C06 C08,12,1
4,19,6,0x628,3 5 9 10,0,0 1 2,F35 C27 C06,9,0
4,19,7,0x113,0 1 4 8,1,0 1 3,F35 C27 C08,9,0
4,19,8,0x432,1 4 5 10,2,0 2 3,F35 C06 C08,12,1
4,19,9,0x309,0 3 8 9,27,1 2 3,C27 C06 C08,12,1
4,19,10,0x50a,1 3 8 10,2,0 2 3,F35 C06 C08,12,1
4,19,11,0x186,1 2 7 8,1,0 1 3,F35 C27 C08,9,0
4,19,12,0xc48,3 6 10 11,0,0 1 2,F35 C27 C06,9,0
4,19,13,0x470,4 5 6 10,2,0 2 3,F35 C06 C08,12,1
4,19,14,0x1d0,4 6 7 8,0,0 1 2,F35 C27 C06,9,0
4,19,15,0x311,0 4 8 9,2,0 2 3,F35 C06 C08,12,1
4,19,16,0x8c8,3 6 7 11,0,0 1 2,F35 C27 C06,9,0
4,19,17,0x630,4 5 9 10,2,0 2 3,F35 C06 C08,12,1
4,19,18,0xe40,6 9 10 11,0,0 1 2,F35 C27 C06,9,0
