triad_id,w33_a,w33_b,w33_c,n12_a,n12_b,n12_c,cover_size,cover12,mask_hex
0,0,1,2,F35,C27,C06,9,0,0xff8
1,0,1,3,F35,C27,C08,9,0,0x1ff
2,0,2,3,F35,C06,C08,12,1,0xfff
3,0,7,8,F35,C24,C04,12,1,0xfff
4,0,7,9,F35,C24,C20,12,1,0xfff
5,0,8,9,F35,C04,C20,12,1,0xfff
6,0,10,11,F35,C19,C33,6,0,0xfc0
7,0,10,12,F35,C19,C05,12,1,0xfff
8,0,11,12,F35,C33,C05,12,1,0xfff
9,0,16,17,F35,C30,C13,12,1,0xfff
10,0,16,18,F35,C30,C11,12,1,0xfff
11,0,17,18,F35,C13,C11,12,1,0xfff
12,0,19,20,F35,C00,C09,12,1,0xfff
13,0,19,21,F35,C00,C25,12,1,0xfff
14,0,20,21,F35,C09,C25,9,0,0xfc7
15,0,25,26,F35,C28,C21,12,1,0xfff
16,0,25,27,F35,C28,C12,12,1,0xfff
17,0,26,27,F35,C21,C12,12,1,0xfff
18,0,28,29,F35,F36,C16,6,0,0x1c7
19,0,28,30,F35,F36,C03,12,1,0xfff
20,0,29,30,F35,C16,C03,12,1,0xfff
21,0,34,35,F35,C15,C17,12,1,0xfff
22,0,34,36,F35,C15,C22,9,0,0x1ff
23,0,35,36,F35,C17,C22,12,1,0xfff
24,0,37,38,F35,C37,C01,12,1,0xfff
25,0,37,39,F35,C37,C31,12,1,0xfff
26,0,38,39,F35,C01,C31,12,1,0xfff
27,1,2,3,C27,C06,C08,12,1,0xfff
28,1,5,8,C27,C14,C04,12,1,0xfff
29,1,5,11,C27,C14,C33,12,1,0xfff
30,1,6,9,C27,C02,C20,12,1,0xfff
31,1,6,12,C27,C02,C05,12,1,0xfff
32,1,8,11,C27,C04,C33,12,1,0xfff
33,1,9,12,C27,C20,C05,9,0,0x1ff
34,1,14,17,C27,C18,C13,12,1,0xfff
35,1,14,20,C27,C18,C09,12,1,0xfff
36,1,15,18,C27,C34,C11,12,1,0xfff
37,1,15,21,C27,C34,C25,12,1,0xfff
38,1,17,20,C27,C13,C09,12,1,0xfff
39,1,18,21,C27,C11,C25,9,0,0xff8
40,1,23,26,C27,C32,C21,12,1,0xfff
41,1,23,29,C27,C32,C16,12,1,0xfff
42,1,24,27,C27,C23,C12,9,0,0x1ff
43,1,24,30,C27,C23,C03,12,1,0xfff
44,1,26,29,C27,C21,C16,12,1,0xfff
45,1,27,30,C27,C12,C03,12,1,0xfff
46,1,32,35,C27,C29,C17,12,1,0xfff
47,1,32,38,C27,C29,C01,12,1,0xfff
48,1,33,36,C27,X35,C22,9,0,0x1ff
49,1,33,39,C27,X35,C31,12,1,0xfff
50,1,35,38,C27,C17,C01,12,1,0xfff
51,1,36,39,C27,C22,C31,12,1,0xfff
52,2,5,9,C06,C14,C20,12,1,0xfff
53,2,5,10,C06,C14,C19,12,1,0xfff
54,2,6,7,C06,C02,C24,12,1,0xfff
