0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0j,0j,(-0.176776695296637-0.3061862178478972j),0j,0j,(0.176776695296637+0.3061862178478972j),0j,0j,(-0.176776695296637-0.3061862178478972j),0j,0j,(0.176776695296637+0.3061862178478972j),0j,(-0.1767766952966368+0.3061862178478973j),0j,0j,(0.1767766952966368-0.3061862178478973j),0j,0j,0j,(-0.176776695296637-0.3061862178478972j),0j,0j,(0.176776695296637+0.3061862178478972j)
0j,0j,(-0.353553390593274-0.6123724356957944j),0j,0j,(0.353553390593274+0.6123724356957944j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,(-0.1767766952966368+0.3061862178478973j),0j,0j,(0.1767766952966368-0.3061862178478973j),0j,0j,0j,(-0.176776695296637-0.3061862178478972j),0j,0j,(0.176776695296637+0.3061862178478972j),0j,(-0.1767766952966368+0.3061862178478973j),0j,0j,(0.1767766952966368-0.3061862178478973j),0j,(0.3535533905932738+0j),0j,0j,(-0.3535533905932738+0j),0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(-0.353553390593274-0.6123724356957944j),0j,0j,(0.353553390593274+0.6123724356957944j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.3535533905932736+0.6123724356957946j),0j,0j,(0.3535533905932736-0.6123724356957946j),0j
0j,(-0.1767766952966368+0.3061862178478973j),0j,0j,(0.1767766952966368-0.3061862178478973j),0j,0j,0j,(-0.176776695296637-0.3061862178478972j),0j,0j,(0.176776695296637+0.3061862178478972j),(0.3535533905932738+0j),0j,0j,(-0.3535533905932738+0j),0j,0j,0j,(-0.1767766952966368+0.3061862178478973j),0j,0j,(0.1767766952966368-0.3061862178478973j),0j
(0.3535533905932738+0j),0j,0j,(-0.3535533905932738+0j),0j,0j,0j,(-0.1767766952966368+0.3061862178478973j),0j,0j,(0.1767766952966368-0.3061862178478973j),0j,0j,0j,(-0.176776695296637-0.3061862178478972j),0j,0j,(0.176776695296637+0.3061862178478972j),0j,(-0.1767766952966368+0.3061862178478973j),0j,0j,(0.1767766952966368-0.3061862178478973j),0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.353553390593274-0.6123724356957944j),0j,0j,(0.353553390593274+0.6123724356957944j)
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.353553390593274-0.6123724356957944j),0j,0j,(0.353553390593274+0.6123724356957944j),0j,0j,0j,0j,0j,0j
0j,0j,(-0.176776695296637-0.3061862178478972j),0j,0j,(0.176776695296637+0.3061862178478972j),0j,0j,(-0.176776695296637-0.3061862178478972j),0j,0j,(0.176776695296637+0.3061862178478972j),0j,0j,(-0.176776695296637-0.3061862178478972j),0j,0j,(0.176776695296637+0.3061862178478972j),0j,(-0.1767766952966368+0.3061862178478973j),0j,0j,(0.1767766952966368-0.3061862178478973j),0j
