u,v
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,17
1,18
1,25
1,26
1,54
1,55
1,56
1,57
1,58
1,59
1,60
1,61
1,62
1,63
1,64
1,65
1,66
1,67
1,68
1,69
1,70
1,71
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,17
2,18
2,25
2,26
2,72
2,73
2,74
2,75
2,76
2,77
2,78
2,79
2,80
2,81
2,82
2,83
2,84
2,85
2,86
2,87
2,88
2,89
3,4
3,5
3,6
3,7
3,8
3,11
3,12
3,19
3,20
3,27
3,28
3,36
3,37
3,38
3,51
3,52
3,53
3,56
3,57
3,62
3,63
3,68
3,69
3,74
3,75
3,80
3,81
3,86
3,87
4,5
4,6
4,7
4,8
4,11
4,12
4,19
4,20
4,27
4,28
4,39
4,40
4,41
4,45
4,46
4,47
4,58
4,59
4,64
4,65
4,70
4,71
4,76
4,77
4,82
4,83
4,88
4,89
5,6
5,7
5,8
5,13
5,14
5,21
5,22
5,29
5,30
5,36
5,37
5,38
5,51
5,52
5,53
5,54
5,55
5,60
5,61
5,66
5,67
5,76
5,77
5,82
5,83
5,88
5,89
6,7
6,8
6,13
6,14
6,21
6,22
6,29
6,30
6,39
6,40
6,41
6,45
6,46
6,47
6,56
6,57
6,62
6,63
6,68
6,69
6,72
6,73
6,78
6,79
6,84
6,85
7,8
7,15
7,16
7,23
7,24
7,31
7,32
7,36
7,37
7,38
7,51
7,52
7,53
7,58
7,59
7,64
7,65
7,70
7,71
7,72
7,73
7,78
7,79
7,84
7,85
8,15
8,16
8,23
8,24
8,31
8,32
8,39
8,40
8,41
8,45
8,46
8,47
8,54
8,55
8,60
8,61
8,66
8,67
8,74
8,75
8,80
8,81
8,86
8,87
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,17
9,18
9,25
9,26
9,42
9,43
9,44
9,45
9,46
9,47
9,60
9,61
9,62
9,63
9,64
9,65
9,78
9,79
9,80
9,81
9,82
9,83
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,25
10,26
10,48
10,49
10,50
10,51
10,52
10,53
10,66
10,67
10,68
10,69
10,70
10,71
10,84
10,85
10,86
10,87
10,88
10,89
11,12
11,13
11,14
11,15
11,16
11,19
11,20
11,27
11,28
11,34
11,37
11,40
11,43
11,46
11,49
11,52
11,55
11,57
11,59
11,61
11,62
11,67
11,70
11,80
11,83
11,87
11,88
12,13
12,14
12,15
12,16
12,19
12,20
12,27
12,28
12,35
12,38
12,41
12,44
12,47
12,50
12,53
12,63
12,65
12,69
12,71
12,73
12,75
12,77
12,79
12,81
12,85
12,89
13,14
13,15
13,16
13,21
13,22
13,29
13,30
13,34
13,37
13,40
13,42
13,45
13,50
13,53
13,55
13,57
13,59
13,60
13,64
13,69
13,71
13,78
13,82
13,85
13,89
14,15
14,16
14,21
14,22
14,29
14,30
14,35
14,38
14,41
14,43
14,46
14,48
14,51
14,61
14,62
14,66
14,68
14,73
14,75
14,77
14,80
14,83
14,84
14,86
15,16
15,23
15,24
15,31
15,32
15,34
15,37
15,40
15,44
15,47
15,48
15,51
15,55
15,57
15,59
15,63
15,65
15,66
15,68
15,79
15,81
15,84
15,86
16,23
16,24
16,31
16,32
16,35
16,38
16,41
16,42
16,45
16,49
16,52
16,60
16,64
16,67
16,70
16,73
16,75
16,77
16,78
16,82
16,87
16,88
17,18
17,19
17,20
17,21
17,22
17,23
17,24
17,25
17,26
17,42
17,43
17,44
17,45
17,46
17,47
17,66
17,67
17,68
17,69
17,70
17,71
17,72
17,73
17,74
17,75
17,76
17,77
18,19
18,20
18,21
18,22
18,23
18,24
18,25
18,26
18,48
18,49
18,50
18,51
18,52
18,53
18,54
18,55
18,56
18,57
18,58
18,59
18,78
18,79
18,80
18,81
18,82
18,83
19,20
19,21
19,22
19,23
19,24
19,27
19,28
19,34
19,38
19,39
19,43
19,45
19,49
19,53
19,55
19,58
19,61
19,63
19,64
19,67
19,69
19,75
19,76
19,81
19,82
20,21
20,22
20,23
20,24
20,27
20,28
20,35
20,36
20,40
20,44
20,46
20,50
20,51
20,56
20,59
20,68
20,70
20,73
20,74
20,79
20,83
20,85
20,86
20,88
21,22
21,23
21,24
21,29
21,30
21,34
21,38
21,39
21,42
21,47
21,50
21,51
21,56
21,59
21,61
21,63
21,64
21,66
21,71
21,72
21,77
21,79
21,83
22,23
22,24
22,29
22,30
22,35
22,36
22,40
22,43
22,45
22,48
22,52
22,54
22,57
22,67
22,69
22,75
22,76
22,78
22,80
22,85
22,86
22,88
23,24
23,31
23,32
23,34
23,38
23,39
23,44
23,46
23,48
23,52
23,54
23,57
23,61
23,63
23,64
23,68
23,70
23,73
23,74
23,78
23,80
24,31
24,32
24,35
24,36
24,40
24,42
24,47
24,49
24,53
24,55
24,58
24,66
24,71
24,72
24,77
24,81
24,82
24,85
24,86
24,88
25,26
25,27
25,28
25,29
25,30
25,31
25,32
25,42
25,43
25,44
25,45
25,46
25,47
25,54
25,55
25,56
25,57
25,58
25,59
25,84
25,85
25,86
25,87
25,88
25,89
26,27
26,28
26,29
26,30
26,31
26,32
26,48
26,49
26,50
26,51
26,52
26,53
26,60
26,61
26,62
26,63
26,64
26,65
26,72
26,73
26,74
26,75
26,76
26,77
27,28
27,29
27,30
27,31
27,32
27,34
27,36
27,41
27,43
27,47
27,49
27,51
27,55
27,56
27,61
27,65
27,67
27,68
27,71
27,74
27,77
27,86
27,89
28,29
28,30
28,31
28,32
28,35
28,37
28,39
28,44
28,45
28,50
28,52
28,57
28,58
28,62
28,64
28,73
28,76
28,79
28,80
28,82
28,85
28,87
29,30
29,31
29,32
29,34
29,36
29,41
29,42
29,46
29,50
29,52
29,54
29,59
29,62
29,64
29,67
29,68
29,71
29,73
29,76
29,84
29,88
30,31
30,32
30,35
30,37
30,39
30,43
30,47
30,48
30,53
30,55
30,56
30,60
30,63
30,72
30,75
30,79
30,80
30,82
30,86
30,89
31,32
31,34
31,36
31,41
31,44
31,45
31,48
31,53
31,57
31,58
31,60
31,63
31,67
31,68
31,71
31,72
31,75
31,85
31,87
32,35
32,37
32,39
32,42
32,46
32,49
32,51
32,54
32,59
32,61
32,65
32,74
32,77
32,79
32,80
32,82
32,84
32,88
33,34
33,35
33,36
33,37
33,38
33,39
33,40
33,41
33,42
33,43
33,44
33,48
33,49
33,50
33,54
33,56
33,58
33,60
33,62
33,65
33,66
33,69
33,70
33,72
33,74
33,76
33,78
33,81
33,83
33,84
33,87
33,89
34,35
34,36
34,37
34,38
34,39
34,40
34,41
34,42
34,43
34,44
34,48
34,49
34,50
34,55
34,57
34,59
34,61
34,63
34,64
34,67
34,68
34,71
35,36
35,37
35,38
35,39
35,40
