a,b,c,w_ab,w_bc,w_ca
17,20,38,0,0,1
19,28,32,0,0,1
1,4,20,0,0,1
9,31,33,1,1,1
31,33,34,1,0,0
26,35,37,0,0,1
18,25,31,0,0,1
11,38,42,0,1,0
25,30,40,0,0,1
15,17,28,1,1,1
7,34,38,0,1,0
29,40,41,1,0,0
4,12,15,0,0,1
10,34,40,0,0,1
4,12,38,0,1,0
2,26,40,0,0,1
9,17,42,0,0,1
4,23,34,1,1,1
12,16,32,0,0,1
2,41,43,1,1,1
2,5,29,0,0,1
13,20,26,1,1,1
25,26,34,0,0,1
3,4,43,0,1,0
14,36,39,1,0,0
