rank,P1(F9),S6 triad (partition of {1..6})
0,∞,"(1, 2, 3) | (4, 5, 6)"
1,0,"(1, 2, 4) | (3, 5, 6)"
2,1,"(1, 2, 5) | (3, 4, 6)"
3,2+1a,"(1, 3, 6) | (2, 4, 5)"
4,2+2a,"(1, 4, 5) | (2, 3, 6)"
5,2,"(1, 2, 6) | (3, 4, 5)"
6,1+2a,"(1, 4, 6) | (2, 3, 5)"
7,1+1a,"(1, 3, 5) | (2, 4, 6)"
8,1a,"(1, 3, 4) | (2, 5, 6)"
9,2a,"(1, 5, 6) | (2, 3, 4)"
